FECHA;DÍA_SEMANA;DEMANDA
13/3/16;domingo;902.267
14/3/16;lunes;1.988.587
15/3/16;martes;2.055.621
16/3/16;miércoles;2.068.961
17/3/16;jueves;2.110.292
18/3/16;viernes;1.915.082
19/3/16;sábado;1.031.448
20/3/16;domingo;829.098
21/3/16;lunes;1.544.848
22/3/16;martes;1.507.179
23/3/16;miércoles;1.427.143
24/3/16;jueves;790.849
25/3/16;viernes;764.730
26/3/16;sábado;853.073
27/3/16;domingo;745.535
28/3/16;lunes;1.588.158
29/3/16;martes;1.828.556
30/3/16;miércoles;1.983.126
31/3/16;jueves;2.039.722
1/4/16;viernes;2.122.968
2/4/16;sábado;1.220.000
3/4/16;domingo;838.484
4/4/16;lunes;2.025.829
5/4/16;martes;2.053.419
6/4/16;miércoles;2.072.624
7/4/16;jueves;2.097.226
8/4/16;viernes;2.155.337
9/4/16;sábado;1.262.285
10/4/16;domingo;896.540
11/4/16;lunes;2.018.026
12/4/16;martes;2.101.285
13/4/16;miércoles;2.090.694
14/4/16;jueves;2.073.026
15/4/16;viernes;2.145.323
16/4/16;sábado;1.159.105
17/4/16;domingo;924.978
18/4/16;lunes;1.983.609
19/4/16;martes;2.033.779
20/4/16;miércoles;2.100.164
21/4/16;jueves;2.089.890
22/4/16;viernes;2.137.949
23/4/16;sábado;1.257.242
24/4/16;domingo;1.011.949
25/4/16;lunes;2.003.069
26/4/16;martes;2.035.463
27/4/16;miércoles;2.080.429
28/4/16;jueves;2.085.076
29/4/16;viernes;2.053.114
30/4/16;sábado;1.137.216
1/5/16;domingo;865.280
2/5/16;lunes;843.694
3/5/16;martes;1.998.421
4/5/16;miércoles;2.111.528
5/5/16;jueves;2.090.778
6/5/16;viernes;2.161.235
7/5/16;sábado;1.231.546
8/5/16;domingo;842.342
9/5/16;lunes;2.014.048
10/5/16;martes;2.051.636
11/5/16;miércoles;2.086.503
12/5/16;jueves;2.076.531
13/5/16;viernes;2.104.313
14/5/16;sábado;1.235.020
15/5/16;domingo;1.066.352
16/5/16;lunes;956.972
17/5/16;martes;1.991.236
18/5/16;miércoles;2.040.364
19/5/16;jueves;2.058.839
20/5/16;viernes;2.101.779
21/5/16;sábado;1.108.150
22/5/16;domingo;830.832
23/5/16;lunes;1.862.155
24/5/16;martes;1.972.464
25/5/16;miércoles;2.014.561
26/5/16;jueves;2.031.013
27/5/16;viernes;2.076.769
28/5/16;sábado;1.216.747
29/5/16;domingo;916.091
30/5/16;lunes;1.917.008
31/5/16;martes;1.967.721
1/6/16;miércoles;1.994.088
2/6/16;jueves;2.014.962
3/6/16;viernes;2.042.323
4/6/16;sábado;1.190.015
5/6/16;domingo;962.338
6/6/16;lunes;1.892.611
7/6/16;martes;1.962.060
8/6/16;miércoles;1.991.022
9/6/16;jueves;2.022.128
10/6/16;viernes;2.024.328
11/6/16;sábado;1.152.697
12/6/16;domingo;865.722
13/6/16;lunes;1.790.581
14/6/16;martes;1.805.780
15/6/16;miércoles;1.849.625
16/6/16;jueves;1.852.475
17/6/16;viernes;1.848.130
18/6/16;sábado;1.094.416
19/6/16;domingo;826.443
20/6/16;lunes;1.801.052
21/6/16;martes;1.835.860
22/6/16;miércoles;1.845.578
23/6/16;jueves;1.838.161
24/6/16;viernes;1.839.190
25/6/16;sábado;1.038.913
26/6/16;domingo;805.887
27/6/16;lunes;1.761.750
28/6/16;martes;1.828.014
29/6/16;miércoles;1.888.214
30/6/16;jueves;1.869.167
1/7/16;viernes;1.835.531
2/7/16;sábado;1.164.075
3/7/16;domingo;799.732
4/7/16;lunes;1.665.156
5/7/16;martes;1.700.341
6/7/16;miércoles;1.712.283
7/7/16;jueves;1.681.542
8/7/16;viernes;1.648.883
9/7/16;sábado;906.530
10/7/16;domingo;711.074
11/7/16;lunes;1.601.658
12/7/16;martes;1.627.441
13/7/16;miércoles;1.666.878
14/7/16;jueves;1.648.936
15/7/16;viernes;1.594.937
16/7/16;sábado;874.004
17/7/16;domingo;697.616
18/7/16;lunes;1.520.194
19/7/16;martes;1.540.175
20/7/16;miércoles;1.552.010
21/7/16;jueves;1.534.159
22/7/16;viernes;1.476.099
23/7/16;sábado;802.889
24/7/16;domingo;639.789
25/7/16;lunes;680.396
26/7/16;martes;1.467.433
27/7/16;miércoles;1.487.229
28/7/16;jueves;1.488.585
29/7/16;viernes;1.426.997
30/7/16;sábado;810.664
31/7/16;domingo;653.974
1/8/16;lunes;1.207.237
2/8/16;martes;1.238.116
3/8/16;miércoles;1.235.527
4/8/16;jueves;1.210.180
5/8/16;viernes;1.189.881
6/8/16;sábado;722.032
7/8/16;domingo;597.801
8/8/16;lunes;1.102.071
9/8/16;martes;1.106.325
10/8/16;miércoles;1.141.506
11/8/16;jueves;1.112.388
12/8/16;viernes;1.087.071
13/8/16;sábado;691.900
14/8/16;domingo;583.511
15/8/16;lunes;597.073
16/8/16;martes;1.067.921
17/8/16;miércoles;1.077.875
18/8/16;jueves;1.082.814
19/8/16;viernes;1.073.968
20/8/16;sábado;683.272
21/8/16;domingo;583.089
22/8/16;lunes;1.101.348
23/8/16;martes;1.133.570
24/8/16;miércoles;1.160.212
25/8/16;jueves;1.163.099
26/8/16;viernes;1.173.460
27/8/16;sábado;777.379
28/8/16;domingo;631.756
29/8/16;lunes;1.237.160
30/8/16;martes;1.305.497
31/8/16;miércoles;1.374.325
1/9/16;jueves;1.534.491
2/9/16;viernes;1.566.870
3/9/16;sábado;917.001
4/9/16;domingo;751.372
5/9/16;lunes;1.671.094
6/9/16;martes;1.726.487
7/9/16;miércoles;1.762.172
8/9/16;jueves;1.796.629
9/9/16;viernes;1.814.686
10/9/16;sábado;1.083.912
11/9/16;domingo;856.498
12/9/16;lunes;1.802.318
13/9/16;martes;1.852.038
14/9/16;miércoles;1.897.886
15/9/16;jueves;1.901.916
16/9/16;viernes;1.927.931
17/9/16;sábado;1.099.468
18/9/16;domingo;816.977
19/9/16;lunes;1.857.033
20/9/16;martes;1.905.258
21/9/16;miércoles;1.953.497
22/9/16;jueves;1.958.484
23/9/16;viernes;1.997.272
24/9/16;sábado;1.130.895
25/9/16;domingo;844.496
26/9/16;lunes;1.906.459
27/9/16;martes;1.968.551
28/9/16;miércoles;2.027.464
29/9/16;jueves;2.017.543
30/9/16;viernes;2.088.514
1/10/16;sábado;1.245.935
2/10/16;domingo;913.222
3/10/16;lunes;2.013.871
4/10/16;martes;2.062.202
5/10/16;miércoles;2.105.929
6/10/16;jueves;2.114.329
7/10/16;viernes;2.161.967
8/10/16;sábado;1.221.040
9/10/16;domingo;870.601
10/10/16;lunes;2.013.116
11/10/16;martes;2.155.528
12/10/16;miércoles;879.967
13/10/16;jueves;2.087.628
14/10/16;viernes;2.144.540
15/10/16;sábado;1.228.172
16/10/16;domingo;868.431
17/10/16;lunes;2.037.271
18/10/16;martes;2.103.788
19/10/16;miércoles;2.112.449
20/10/16;jueves;2.117.596
21/10/16;viernes;2.152.681
22/10/16;sábado;1.135.828
23/10/16;domingo;842.700
24/10/16;lunes;2.040.161
25/10/16;martes;2.096.634
26/10/16;miércoles;2.117.980
27/10/16;jueves;2.115.138
28/10/16;viernes;2.144.403
29/10/16;sábado;1.224.420
30/10/16;domingo;943.849
31/10/16;lunes;1.773.278
1/11/16;martes;857.213
2/11/16;miércoles;2.079.544
3/11/16;jueves;2.105.141
4/11/16;viernes;2.178.757
5/11/16;sábado;1.143.045
6/11/16;domingo;919.209
7/11/16;lunes;2.044.446
8/11/16;martes;2.152.689
9/11/16;miércoles;1.034.465
10/11/16;jueves;2.114.955
11/11/16;viernes;2.156.045
12/11/16;sábado;1.209.202
13/11/16;domingo;929.394
14/11/16;lunes;2.073.506
15/11/16;martes;2.132.031
16/11/16;miércoles;2.160.843
17/11/16;jueves;2.176.481
18/11/16;viernes;2.245.806
19/11/16;sábado;1.310.574
20/11/16;domingo;859.572
21/11/16;lunes;2.096.447
22/11/16;martes;2.133.251
23/11/16;miércoles;2.204.299
24/11/16;jueves;2.198.240
25/11/16;viernes;2.400.163
26/11/16;sábado;1.344.218
27/11/16;domingo;943.972
28/11/16;lunes;2.097.814
29/11/16;martes;2.151.517
30/11/16;miércoles;2.207.381
1/12/16;jueves;2.204.496
2/12/16;viernes;2.294.117
3/12/16;sábado;1.440.885
4/12/16;domingo;914.458
5/12/16;lunes;2.117.364
6/12/16;martes;1.174.616
7/12/16;miércoles;2.151.753
8/12/16;jueves;1.214.605
9/12/16;viernes;1.900.868
10/12/16;sábado;1.389.900
11/12/16;domingo;978.970
12/12/16;lunes;2.109.560
13/12/16;martes;2.179.678
14/12/16;miércoles;2.212.635
15/12/16;jueves;2.231.429
16/12/16;viernes;2.356.612
17/12/16;sábado;1.567.597
18/12/16;domingo;1.119.072
19/12/16;lunes;2.155.477
20/12/16;martes;2.219.324
21/12/16;miércoles;2.265.202
22/12/16;jueves;2.214.078
23/12/16;viernes;1.902.736
24/12/16;sábado;737.763
25/12/16;domingo;551.314
26/12/16;lunes;1.018.343
27/12/16;martes;1.763.405
28/12/16;miércoles;1.858.372
29/12/16;jueves;1.920.335
30/12/16;viernes;1.784.589
31/12/16;sábado;946.322
1/1/17;domingo;621.553
2/1/17;lunes;1.597.351
3/1/17;martes;1.751.080
4/1/17;miércoles;1.844.664
5/1/17;jueves;1.807.169
6/1/17;viernes;738.167
7/1/17;sábado;1.191.545
8/1/17;domingo;882.575
9/1/17;lunes;1.983.889
10/1/17;martes;2.028.669
11/1/17;miércoles;2.067.441
12/1/17;jueves;2.070.392
13/1/17;viernes;2.161.850
14/1/17;sábado;1.286.005
15/1/17;domingo;868.529
16/1/17;lunes;2.023.284
17/1/17;martes;2.068.435
18/1/17;miércoles;2.135.549
19/1/17;jueves;2.124.265
20/1/17;viernes;2.178.277
21/1/17;sábado;1.326.639
22/1/17;domingo;907.479
23/1/17;lunes;2.024.695
24/1/17;martes;2.071.268
25/1/17;miércoles;2.103.831
26/1/17;jueves;2.117.424
27/1/17;viernes;2.109.544
28/1/17;sábado;1.284.488
29/1/17;domingo;892.480
30/1/17;lunes;2.013.707
31/1/17;martes;2.084.693
1/2/17;miércoles;2.143.184
2/2/17;jueves;2.154.693
3/2/17;viernes;2.233.543
4/2/17;sábado;1.274.366
5/2/17;domingo;907.976
6/2/17;lunes;2.066.311
7/2/17;martes;2.125.625
8/2/17;miércoles;2.165.440
9/2/17;jueves;2.180.415
10/2/17;viernes;2.261.102
11/2/17;sábado;1.277.757
12/2/17;domingo;882.400
13/2/17;lunes;2.103.324
14/2/17;martes;2.186.883
15/2/17;miércoles;2.223.254
16/2/17;jueves;2.222.953
17/2/17;viernes;2.164.554
18/2/17;sábado;1.334.277
19/2/17;domingo;967.396
20/2/17;lunes;2.096.746
21/2/17;martes;2.150.336
22/2/17;miércoles;2.171.081
23/2/17;jueves;2.180.030
24/2/17;viernes;2.119.557
25/2/17;sábado;1.391.930
26/2/17;domingo;1.003.845
27/2/17;lunes;2.065.367
28/2/17;martes;2.161.133
1/3/17;miércoles;2.220.590
2/3/17;jueves;2.212.574
3/3/17;viernes;2.224.710
4/3/17;sábado;1.305.408
5/3/17;domingo;921.685
6/3/17;lunes;2.083.501
7/3/17;martes;2.136.882
8/3/17;miércoles;2.218.681
9/3/17;jueves;2.156.180
10/3/17;viernes;2.240.766
11/3/17;sábado;1.363.644
12/3/17;domingo;1.008.470
13/3/17;lunes;2.081.634
14/3/17;martes;2.137.561
15/3/17;miércoles;2.197.646
16/3/17;jueves;2.256.653
17/3/17;viernes;2.062.817
18/3/17;sábado;1.164.085
19/3/17;domingo;913.334
20/3/17;lunes;868.171
21/3/17;martes;2.110.613
22/3/17;miércoles;2.172.944
23/3/17;jueves;2.176.697
24/3/17;viernes;2.219.164
25/3/17;sábado;1.284.784
26/3/17;domingo;885.792
27/3/17;lunes;2.081.063
28/3/17;martes;2.143.114
29/3/17;miércoles;2.180.607
30/3/17;jueves;2.199.496
31/3/17;viernes;2.281.381
1/4/17;sábado;1.374.070
2/4/17;domingo;1.070.209
3/4/17;lunes;2.120.259
4/4/17;martes;2.189.466
5/4/17;miércoles;2.213.873
6/4/17;jueves;2.257.351
7/4/17;viernes;2.066.469
8/4/17;sábado;1.246.018
9/4/17;domingo;946.647
10/4/17;lunes;1.635.758
11/4/17;martes;1.640.865
12/4/17;miércoles;1.567.273
13/4/17;jueves;875.519
14/4/17;viernes;862.663
15/4/17;sábado;934.833
16/4/17;domingo;833.561
17/4/17;lunes;1.689.144
18/4/17;martes;2.130.200
19/4/17;miércoles;2.176.147
20/4/17;jueves;2.201.379
21/4/17;viernes;2.288.116
22/4/17;sábado;1.357.920
23/4/17;domingo;1.175.339
24/4/17;lunes;2.135.084
25/4/17;martes;2.199.835
26/4/17;miércoles;2.217.925
27/4/17;jueves;2.276.522
28/4/17;viernes;2.181.776
29/4/17;sábado;1.133.054
30/4/17;domingo;919.855
1/5/17;lunes;883.792
2/5/17;martes;937.536
3/5/17;miércoles;2.128.117
4/5/17;jueves;2.166.961
5/5/17;viernes;2.240.680
6/5/17;sábado;1.324.274
7/5/17;domingo;1.000.790
8/5/17;lunes;2.114.210
9/5/17;martes;2.170.282
10/5/17;miércoles;2.219.407
11/5/17;jueves;2.208.030
12/5/17;viernes;2.221.043
13/5/17;sábado;1.327.654
14/5/17;domingo;1.101.774
15/5/17;lunes;1.081.135
16/5/17;martes;2.116.046
17/5/17;miércoles;2.172.679
18/5/17;jueves;2.185.377
19/5/17;viernes;2.242.043
20/5/17;sábado;1.307.273
21/5/17;domingo;952.170
22/5/17;lunes;2.083.495
23/5/17;martes;2.129.896
24/5/17;miércoles;2.170.994
25/5/17;jueves;2.187.674
26/5/17;viernes;2.219.735
27/5/17;sábado;1.303.494
28/5/17;domingo;954.524
29/5/17;lunes;2.064.690
30/5/17;martes;2.169.446
31/5/17;miércoles;2.162.292
1/6/17;jueves;2.163.885
2/6/17;viernes;2.216.045
3/6/17;sábado;1.348.058
4/6/17;domingo;1.077.999
5/6/17;lunes;2.063.665
6/6/17;martes;2.137.737
7/6/17;miércoles;2.145.763
8/6/17;jueves;2.175.376
