Cód;Causa;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0301;Información general de la red;5;1;7;6;2;0;4;3;7;3;2;4;2;3;2;1;1;1;2;2;2;0;1;0;2;1;0;2;0;2;1;0;0;2;1;2;0;1;2;4;1;1;0;6;2;1;0;3;0;1;2;4;1;1;0;6;2;1;0;3;2;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0302;Información para seguir la ruta;5;3;1;7;6;5;7;5;5;1;3;3;7;4;1;1;0;1;3;3;1;0;2;1;1;2;0;1;0;1;23;4;3;6;4;2;6;8;15;6;6;4;4;7;3;3;4;9;6;8;15;6;6;4;4;7;3;3;4;9;5;5;4;6;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0303;Información sobre incidencias;17;20;20;11;19;15;41;13;41;35;28;9;12;37;5;0;1;2;3;7;7;4;3;5;7;0;3;4;0;4;6;0;2;4;8;10;4;2;3;6;10;9;4;1;13;9;2;12;4;2;3;6;10;9;4;1;13;9;2;12;7;12;12;10;18;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0304;Información teleindicadores;3;3;9;5;6;5;24;42;20;5;1;1;5;6;3;3;0;2;1;9;2;1;1;0;0;0;1;2;0;2;4;5;3;0;2;1;1;4;1;2;2;3;1;3;2;4;2;1;1;4;1;2;2;3;1;3;2;4;2;1;4;2;8;4;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0703;Intervenciones y recargos;74;59;76;76;50;73;63;28;51;73;86;60;95;136;47;0;3;2;5;3;4;6;11;9;5;29;35;32;24;24;18;12;11;14;25;9;19;29;31;25;32;77;60;41;73;70;102;46;19;29;31;25;32;77;60;41;73;70;102;46;97;126;94;93;82;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0605;Limpieza estaciones;14;11;11;8;5;7;22;15;15;10;8;3;14;7;1;3;6;7;12;7;5;6;2;7;27;6;7;3;7;5;7;7;3;4;2;5;7;6;3;6;3;10;10;4;5;3;3;4;7;6;3;6;3;10;10;4;5;3;3;4;5;11;11;7;7;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0606;Limpieza trenes;1;3;1;2;2;1;3;9;3;3;1;0;2;1;3;4;1;2;5;3;1;3;4;2;7;4;1;2;0;4;0;0;2;4;1;3;3;2;1;1;3;2;8;1;1;0;3;1;3;2;1;1;3;2;8;1;1;0;3;1;1;2;1;5;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0999;Nulas;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0109;Número equipos de venta;1;4;3;0;5;6;0;1;2;3;5;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0110;Oferta funciones equipos de venta;5;3;6;4;6;9;7;8;7;4;7;3;1;6;1;1;0;0;1;3;3;0;1;1;2;3;3;5;5;3;5;3;3;5;3;3;7;4;6;7;4;5;7;3;6;6;6;5;7;4;6;7;4;5;7;3;6;6;6;5;3;2;4;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
